,formatted_address,province,citycode,city,district,adcode,lng,lat,Name,keyword
1,江苏省南京市栖霞区中山陵园风景区,江苏省,25,NJ,栖霞区,320113,118.883375,32.07025,南京中山陵园风景区,中山陵
2,江苏省南京市雨花台区雨花台景区,江苏省,25,NJ,雨花台区,320114,118.781845,31.99783,南京雨花台景区,雨花台
3,江苏省南京市秦淮区夫子庙秦淮风光带管理局,江苏省,25,NJ,秦淮区,320104,118.788134,32.0211,南京夫子庙秦淮风光带,夫子庙
4,江苏省南京市鼓楼区阅江楼景区,江苏省,25,NJ,鼓楼区,320106,118.747828,32.09437,南京阅江楼景区,阅江楼
5,江苏省南京市玄武区总统府景区,江苏省,25,NJ,玄武区,320102,118.796031,32.04306,南京总统府景区,总统府
6,江苏省无锡市滨湖区太湖鼋头渚风景区,江苏省,510,WX,滨湖区,320211,120.221047,31.52778,无锡太湖鼋头渚风景区,鼋头渚
7,江苏省无锡市滨湖区灵山景区,江苏省,510,WX,滨湖区,320211,120.100962,31.42693,无锡灵山景区,灵山
8,江苏省无锡市滨湖区三国水浒景区,江苏省,510,WX,滨湖区,320211,120.234205,31.48068,无锡三国水浒景区,三国
9,江苏省无锡市宜兴市善卷洞风景区,江苏省,510,WX,宜兴市,320282,119.669598,31.29887,宜兴善卷洞风景区,善卷洞
10,江苏省无锡市,江苏省,510,WX,list(),320200,120.274231,31.579007,无锡锡惠园林文物名胜区,锡惠
11,江苏省徐州市泉山区淮海战役烈士纪念塔,江苏省,516,XZ,泉山区,320311,117.197516,34.23357,徐州淮海战役烈士纪念塔园林,淮海战役
12,江苏省常州市天宁区天宁寺,江苏省,519,CZ,天宁区,320402,119.969437,31.77426,常州天宁寺,天宁寺
13,江苏省常州市溧阳市天目湖旅游区,江苏省,519,CZ,溧阳市,320481,119.42333,31.28121,常州天目湖旅游区,山水园
14,江苏省常州市,江苏省,519,CZ,list(),320400,120.000684,31.823705,常州环球恐龙城,恐龙
15,江苏省苏州市姑苏区拙政园,江苏省,512,SZ,姑苏区,320508,120.629029,31.32416,苏州拙政园,拙政园
16,江苏省苏州市姑苏区虎丘山风景名胜区,江苏省,512,SZ,姑苏区,320508,120.581043,31.33594,苏州虎丘风景名胜区,虎丘
17,江苏省苏州市虎丘区苏州乐园,江苏省,512,SZ,虎丘区,320505,120.544241,31.29064,苏州乐园,苏州乐园
18,江苏省苏州市昆山市周庄古镇,江苏省,512,SZ,昆山市,320583,120.850993,31.11535,苏州周庄古镇游览区,周庄
19,江苏省苏州市吴江区同里,江苏省,512,SZ,吴江区,320509,120.715858,31.15852,苏州同里古镇游览区,同里
20,江苏省苏州市吴中区甪直,江苏省,512,SZ,吴中区,320506,120.872156,31.268776,苏州甪直古镇游览区,甪直
21,江苏省苏州市常熟市尚湖风景区,江苏省,512,SZ,常熟市,320581,120.690873,31.64611,常熟虞山-尚湖风景区,虞山尚湖
22,江苏省苏州市姑苏区盘门景区,江苏省,512,SZ,姑苏区,320508,120.617312,31.28834,苏州盘门景区,盘门
23,江苏省苏州市吴中区西山景区,江苏省,512,SZ,吴中区,320506,120.265613,31.120738,苏州西山景区,西山
24,江苏省苏州市吴中区木渎,江苏省,512,SZ,吴中区,320506,120.512079,31.251371,苏州木渎古镇,木渎
25,江苏省苏州市姑苏区狮子林,江苏省,512,SZ,姑苏区,320508,120.629124,31.32105,苏州狮子林,狮子林
