formatted_address,province,city,district,adcode,lng,lat,Name,keyword,lng_wgs84,lat_wgs84,height,location,Rate,备注
江苏省南京市栖霞区中山陵园风景区,江苏省,NJ,栖霞区,320113,118.883375,32.07025,南京中山陵园风景区,中山陵,118.8783448,32.07246547,34,"118.883375,32.07025",5A,
江苏省南京市雨花台区雨花台景区,江苏省,NJ,雨花台区,320114,118.781845,31.99783,南京雨花台景区,雨花台,118.7766447,31.99987156,35,"118.781845,31.99783",4A,
江苏省南京市秦淮区夫子庙秦淮风光带管理局,江苏省,NJ,秦淮区,320104,118.788134,32.0211,南京夫子庙秦淮风光带,夫子庙,118.7829401,32.02315451,13,"118.788134,32.0211",5A,
江苏省南京市鼓楼区阅江楼景区,江苏省,NJ,鼓楼区,320106,118.747828,32.09437,南京阅江楼景区,阅江楼,118.7425992,32.09641504,59,"118.747828,32.09437",4A,
江苏省南京市玄武区总统府景区,江苏省,NJ,玄武区,320102,118.796031,32.04306,南京总统府景区,总统府,118.7908475,32.04513055,11,"118.796031,32.04306",4A,
江苏省无锡市滨湖区太湖鼋头渚风景区,江苏省,WX,滨湖区,320211,120.221047,31.52778,无锡太湖鼋头渚风景区,鼋头渚,120.216426,31.52971393,5,"120.221047,31.52778",5A,
江苏省无锡市滨湖区灵山景区,江苏省,WX,滨湖区,320211,120.100962,31.42693,无锡灵山景区,灵山,120.0960532,31.42871445,16,"120.100962,31.42693",5A,
江苏省无锡市滨湖区三国水浒景区,江苏省,WX,滨湖区,320211,120.234205,31.48068,无锡三国水浒景区,三国,120.2296108,31.48263141,9,"120.234205,31.48068",5A,
江苏省无锡市宜兴市善卷洞风景区,江苏省,WX,宜兴市,320282,119.669598,31.29887,宜兴善卷洞风景区,善卷洞,119.6646731,31.30098539,87,"119.669598,31.29887",4A,
江苏省无锡市,江苏省,WX,list(),320200,120.274231,31.579007,无锡锡惠园林文物名胜区,锡惠,120.2696506,31.58094029,33,"120.274231,31.579007",4A,
江苏省徐州市泉山区淮海战役烈士纪念塔,江苏省,XZ,泉山区,320311,117.197516,34.23357,徐州淮海战役烈士纪念塔园林,淮海战役,117.1917661,34.23482488,41,"117.197516,34.23357",4A,
江苏省常州市天宁区天宁寺,江苏省,CZ,天宁区,320402,119.969437,31.77426,常州天宁寺,天宁寺,119.9647005,31.77630754,13,"119.969437,31.77426",4A,
江苏省常州市溧阳市天目湖旅游区,江苏省,CZ,溧阳市,320481,119.42333,31.28121,常州天目湖旅游区,山水园,119.4179672,31.28306255,18,"119.42333,31.28121",5A,常州天目湖旅游区景点
江苏省常州市,江苏省,CZ,list(),320400,120.000684,31.823705,常州环球恐龙城,恐龙,119.9958651,31.82566959,6,"120.000684,31.823705",5A,
江苏省苏州市姑苏区拙政园,江苏省,SZ,姑苏区,320508,120.629029,31.32416,苏州拙政园,拙政园,120.6248407,31.32631837,12,"120.629029,31.32416",5A,
江苏省苏州市姑苏区虎丘山风景名胜区,江苏省,SZ,姑苏区,320508,120.581043,31.33594,苏州虎丘风景名胜区,虎丘,120.5768582,31.33810812,33,"120.581043,31.33594",5A,
